no;id;name;host_id;host_name;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm
592;4270543;2BR,200m from mrt,near Chatuchak;22079219;Phern;Huai Khwang;1.379.977;100.575;Entire home/apt;617;30;54;19/12/2019;0.55;1;289;0
593;5011036;Modern 1 BR Apr near Khaosan road;323158;Sue;Bangkok Noi;1.377.368;10.048.079;Entire home/apt;999;3;19;16/05/2020;0.22;6;295;0
594;5014309;2Bedrooms 60SQM 3stop BTS to Silom-Sathon+Netflix;2940438;Kinifrog;Thon buri;1.371.786;10.047.775;Entire home/apt;1330;28;102;21/03/2020;1.06;19;310;0
595;5016119;Cozy studio, Sukhumvit 77, near BTS;8375097;Kunlatida;Suanluang;1.371.194;10.060.596;Private room;850;1;0;;;1;365;0
596;4272623;Modern Chinese Style Room  at Loftel 22;14496145;Saowaros;Samphanthawong;1.373.325;10.051.437;Private room;1000;1;107;30/11/2022;1.09;5;361;22
597;4272717;Loftel 22 Hostel : Private Twin Room - BKK;14496145;Saowaros;Samphanthawong;1.373.325;10.051.437;Private room;1000;1;28;12/12/2022;0.29;5;362;2
598;4272808;Perfect Budget Stay for Family at Loftel 22;14496145;Saowaros;Samphanthawong;1.373.325;10.051.437;Private room;1446;1;27;16/02/2018;0.27;5;364;0
599;4822178;Apartment near Kasetsart University;24831286;Kiat;Chatu Chak;1.384.186;10.058.884;Entire home/apt;800;30;17;09/12/2018;0.18;1;325;0
600;4824458;superbe logement 54m2 SATHORN/SILOM;24842345;Olivier;Yan na wa;1.371.408;10.054.564;Entire home/apt;1438;2;11;02/01/2017;0.11;1;340;0
601;5016431;Modern condo in Sathon/ Silom;12637466;David;Sathon;1.372.033;1.005.299;Entire home/apt;3587;1;12;18/12/2022;0.13;1;347;2
602;4825297;2 BR Apart near Bangkok Skytrain;24844970;Bertrand;Khlong Toei;1.370.754;10.059.274;Entire home/apt;1650;4;27;23/12/2018;0.28;1;173;0
603;4834313;120sqm apartment by Airport Link;24879998;FRC Rental;Suanluang;1.373.467;10.064.802;Entire home/apt;3000;30;0;;;2;364;0
604;4837557;Baan Waan La Moon rm2 DBL 3.5*3.5;24898195;Baan Waan La Moon;Bangkok Noi;1.375.536;10.048.638;Private room;850;2;9;18/08/2017;0.09;4;365;0
605;4297740;Modern Bangkok townhouse;21934716;Hamish;Vadhana;137.261;10.058.833;Entire home/apt;6892;3;10;03/01/2019;0.1;1;325;0
606;5026730;Boxpackers Hostel;25942698;Nuttakrit;Ratchathewi;1.375.292;10.053.857;Shared room;5000;1;47;29/04/2019;0.56;2;365;0
607;5418981;SKY LINE CBD (Sathorn)Apartment 34 Sq.m;28093266;Kornpat;Sathon;1.371.246;10.053.385;Entire home/apt;3151;28;3;27/08/2022;0.37;2;226;3
